source,fips,value,date
43,05053,0.000515839,12/31/2017
43,05055,0.000436246,12/31/2017
43,05057,0,12/31/2017
43,05059,0,12/31/2017
43,05061,0.00615874,12/31/2017
43,05063,7.45528E-05,12/31/2017
43,05065,0,12/31/2017
43,05067,0.000113345,12/31/2017
43,05069,0.000183784,12/31/2017
43,05071,7.55301E-05,12/31/2017
43,05073,0.009537038,12/31/2017
43,05075,0.002383257,12/31/2017
43,05077,0,12/31/2017
43,05079,0.000432516,12/31/2017
43,05081,0.024242198,12/31/2017
43,05083,0,12/31/2017
43,05085,5.74142E-05,12/31/2017
43,05087,0.002940818,12/31/2017
43,05089,0.000231644,12/31/2017
43,05091,8.66759E-05,12/31/2017
43,05093,0.003274482,12/31/2017
43,05095,0.000521827,12/31/2017
43,05097,0.002093465,12/31/2017
43,05099,0.032903201,12/31/2017
43,05101,0.000470235,12/31/2017
43,05103,0.000969187,12/31/2017
43,05105,0.002052059,12/31/2017
43,05107,0.00025101,12/31/2017
43,05109,0.013296876,12/31/2017
43,05111,0.000465631,12/31/2017
43,05113,0.000242391,12/31/2017
43,05115,4.73828E-05,12/31/2017
43,05117,0.270562862,12/31/2017
43,05119,9.29292E-05,12/31/2017
43,05121,0.002066402,12/31/2017
43,05123,0.000100669,12/31/2017
43,05125,9.58414E-05,12/31/2017
43,05127,0.001836623,12/31/2017
43,05129,0.001126714,12/31/2017
43,05131,1.05474E-05,12/31/2017
43,05133,0.003641899,12/31/2017
43,05135,0.008253908,12/31/2017
43,05137,0.001117692,12/31/2017
43,05139,0.015601735,12/31/2017
43,05141,0.003528544,12/31/2017
43,05143,3.07341E-05,12/31/2017
43,05145,0.003960717,12/31/2017
43,05147,0.040894352,12/31/2017
43,05149,0.000662124,12/31/2017
43,06001,0.00028638,12/31/2017
43,06003,0.500720031,12/31/2017
43,06005,0.010025187,12/31/2017
43,06007,0.000440699,12/31/2017
43,06009,0.003063835,12/31/2017
43,06011,0.006552161,12/31/2017
43,06013,7.41197E-05,12/31/2017
43,06015,0.011031411,12/31/2017
43,06017,0.000184506,12/31/2017
43,06019,6.20533E-05,12/31/2017
43,06021,0.000110319,12/31/2017
43,06023,3.5576E-05,12/31/2017
43,06025,0.000328888,12/31/2017
43,06027,0.008494767,12/31/2017
43,06029,0.000155477,12/31/2017
43,06031,4.84063E-05,12/31/2017
43,06033,9.36967E-05,12/31/2017
43,06035,0.000128058,12/31/2017
43,06037,1.6311E-05,12/31/2017
43,06039,7.77711E-05,12/31/2017
43,06041,0.000502935,12/31/2017
43,06043,0.0006981,12/31/2017
43,06045,0.000156238,12/31/2017
43,06047,0.000211594,12/31/2017
43,06049,0.00038559,12/31/2017
43,06051,0.005722146,12/31/2017
43,06053,2.00665E-06,12/31/2017
43,06055,4.42718E-05,12/31/2017
43,06057,0,12/31/2017
43,06059,1.75275E-05,12/31/2017
43,06061,1.93869E-05,12/31/2017
43,06063,0.000105506,12/31/2017
43,06065,3.69093E-07,12/31/2017
43,06067,0,12/31/2017
43,06069,2.2896E-05,12/31/2017
43,06071,0,12/31/2017
43,06073,0,12/31/2017
43,06075,0,12/31/2017
43,06077,5.34688E-06,12/31/2017
43,06079,0.000670535,12/31/2017
43,06081,0,12/31/2017
43,06083,4.81613E-05,12/31/2017
43,06085,2.39801E-06,12/31/2017
43,06087,0,12/31/2017
43,06089,0.000409851,12/31/2017
43,06091,0.000684745,12/31/2017
43,06093,0.00021602,12/31/2017
43,06095,0,12/31/2017
43,06097,6.94063E-06,12/31/2017
43,06099,3.54028E-06,12/31/2017
43,06101,0,12/31/2017
43,06103,2.49876E-05,12/31/2017
43,06105,0,12/31/2017
43,06107,0.000131582,12/31/2017
43,06109,6.15748E-05,12/31/2017
43,06111,1.77083E-06,12/31/2017
43,06113,9.29183E-06,12/31/2017
43,06115,9.95102E-05,12/31/2017
43,08001,0.000117432,12/31/2017
43,08003,0.000120862,12/31/2017
43,08005,6.3053E-06,12/31/2017
43,08007,0.000156884,12/31/2017
43,08009,0.010150517,12/31/2017
43,08011,0,12/31/2017
43,08013,0,12/31/2017
43,08014,3.07311E-05,12/31/2017
43,08015,0.000289741,12/31/2017
43,08017,0.002563399,12/31/2017
43,08019,0.000665823,12/31/2017
43,08021,0,12/31/2017
43,08023,0,12/31/2017
43,08025,0.000573229,12/31/2017
43,08027,0.00043851,12/31/2017
43,08029,6.53768E-05,12/31/2017
43,08031,0.000150476,12/31/2017
43,08033,0.002093837,12/31/2017
43,08035,4.18562E-06,12/31/2017
43,08037,0.000144137,12/31/2017
43,08039,0,12/31/2017
43,08041,0,12/31/2017
43,08043,0,12/31/2017
43,08045,8.72768E-05,12/31/2017
43,08047,0.000463778,12/31/2017
43,08049,8.01253E-05,12/31/2017
43,08051,0,12/31/2017
43,08053,0.0289096,12/31/2017
43,08055,0.000340497,12/31/2017
43,08057,0.118990113,12/31/2017
43,08059,0.000417493,12/31/2017
43,08061,0.015711494,12/31/2017
43,08063,0.002165334,12/31/2017
43,08065,0.032163427,12/31/2017
43,08067,0.000674587,12/31/2017
43,08069,4.1542E-05,12/31/2017
43,08071,0.001306662,12/31/2017
43,08073,0.00412276,12/31/2017
43,08075,0.007279116,12/31/2017
43,08077,0.000252781,12/31/2017
43,08079,0.40779405,12/31/2017
43,08081,0.01068241,12/31/2017
43,08083,0.003566153,12/31/2017
43,08085,0.001452594,12/31/2017
43,08087,7.02446E-05,12/31/2017
43,08089,0.007623826,12/31/2017
43,08091,0.114037487,12/31/2017
43,08093,0.000116893,12/31/2017
43,08095,0.015029607,12/31/2017
43,08097,0.00147825,12/31/2017
43,08099,0.002720303,12/31/2017
43,08101,0.000508359,12/31/2017
43,08103,0.004169707,12/31/2017
43,08105,0.000338754,12/31/2017
43,08107,0,12/31/2017
43,08109,0.05075555,12/31/2017
43,08111,0.255806769,12/31/2017
43,08113,0.001002427,12/31/2017
43,08115,0.000838137,12/31/2017
43,08117,0.003331254,12/31/2017
43,08119,0,12/31/2017
43,08121,0,12/31/2017
43,08123,5.25453E-06,12/31/2017
43,08125,0,12/31/2017
43,09001,2.08533E-06,12/31/2017
43,09003,2.20131E-06,12/31/2017
43,09005,0.000265606,12/31/2017
43,09007,0.000155526,12/31/2017
43,09009,0.000445176,12/31/2017
43,09011,5.83661E-06,12/31/2017
43,09013,0.000319006,12/31/2017
43,09015,5.89223E-05,12/31/2017
43,10001,0,12/31/2017
43,10003,0,12/31/2017
43,10005,0.000345698,12/31/2017
43,11001,0.000263245,12/31/2017
43,12001,0.000367328,12/31/2017
43,12003,0.000114783,12/31/2017
43,12005,0,12/31/2017
43,12007,7.37811E-05,12/31/2017
43,12009,0.000112094,12/31/2017
43,12011,3.84143E-05,12/31/2017
43,12013,0.003049725,12/31/2017
43,12015,0.004545418,12/31/2017
43,12017,8.27237E-05,12/31/2017
43,12019,2.09899E-05,12/31/2017
43,12021,0.000149058,12/31/2017
43,12023,0.000115384,12/31/2017
43,12027,0.010523391,12/31/2017
43,12029,0.004826473,12/31/2017
43,12031,0.000432594,12/31/2017
43,12033,0.000367149,12/31/2017
43,12035,0.003099382,12/31/2017
43,12037,0.012135511,12/31/2017
43,12039,0.000169647,12/31/2017
43,12041,0.00153985,12/31/2017
43,12043,0.005903864,12/31/2017
43,12045,0.001899272,12/31/2017
43,12047,0.008979749,12/31/2017
43,12049,0.002790525,12/31/2017
43,12051,0.000685737,12/31/2017
43,12053,6.61643E-06,12/31/2017
43,12055,3.78624E-05,12/31/2017
43,12057,1.26914E-05,12/31/2017
43,12059,0.008281988,12/31/2017
43,12061,0,12/31/2017
43,12063,0.000175704,12/31/2017
43,12065,0.000331001,12/31/2017
43,12067,0.000445873,12/31/2017
43,12069,0,12/31/2017
43,12071,5.30435E-06,12/31/2017
43,12073,0,12/31/2017
43,12075,0.00067652,12/31/2017
43,12077,0,12/31/2017
43,12079,0.000238962,12/31/2017
43,12081,1.73888E-05,12/31/2017
43,12083,1.72392E-05,12/31/2017
43,12085,3.19693E-05,12/31/2017
43,12086,3.45597E-05,12/31/2017
43,12087,2.5741E-05,12/31/2017
43,12089,0,12/31/2017
43,12091,9.99787E-06,12/31/2017
43,12093,0,12/31/2017
43,12095,1.16366E-05,12/31/2017
43,12097,9.72046E-06,12/31/2017
43,12099,1.38459E-06,12/31/2017
43,12101,0,12/31/2017
43,12103,3.32769E-06,12/31/2017
43,12105,3.0287E-06,12/31/2017
43,12107,0.000330544,12/31/2017
43,12109,6.45192E-05,12/31/2017
43,12111,0,12/31/2017
43,12113,0.000813516,12/31/2017
43,12115,1.11257E-05,12/31/2017
43,12117,5.45254E-06,12/31/2017
43,12119,5.34675E-05,12/31/2017
43,12121,0.001035222,12/31/2017
43,12123,0,12/31/2017
43,12125,0.00288189,12/31/2017
43,12127,3.80883E-06,12/31/2017
43,12129,0.002749399,12/31/2017
43,12131,0.000109582,12/31/2017
43,12133,0.000510179,12/31/2017
43,13001,0,12/31/2017
43,13003,0.000570333,12/31/2017
43,13005,0.001478245,12/31/2017
43,13007,0,12/31/2017
43,13009,0.000126703,12/31/2017
43,13011,5.59415E-05,12/31/2017
43,13013,0,12/31/2017
43,13015,6.15999E-05,12/31/2017
43,13017,0.011913326,12/31/2017
43,13019,0.000390651,12/31/2017
43,13021,0,12/31/2017
43,13023,0.005806352,12/31/2017
43,13025,0.000824059,12/31/2017
43,13027,0.000126399,12/31/2017
43,13029,0,12/31/2017
43,13031,2.67892E-05,12/31/2017
